[2026-03-25T16:36:52.207+0900][22.667s][info][gc,metaspace] GC(9) Metaspace: 181K(384K)->181K(384K) NonClass: 170K(256K)->170K(256K) Class: 10K(128K)->10K(128K)
[2026-03-25T16:36:52.207+0900][22.667s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 173M->123M(256M) 3.926ms
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,cpu      ] GC(9) User=0.00s Sys=0.00s Real=0.00s
[2026-03-25T16:36:54.278+0900][24.737s][info][gc,start    ] GC(10) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[2026-03-25T16:36:54.278+0900][24.738s][info][gc,task     ] GC(10) Using 8 workers of 8 for evacuation
[2026-03-25T16:36:54.280+0900][24.740s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[2026-03-25T16:36:54.280+0900][24.740s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.2ms
[2026-03-25T16:36:54.280+0900][24.740s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 1.0ms
[2026-03-25T16:36:54.280+0900][24.740s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.5ms
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,phases   ] GC(10)   Other: 0.3ms
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,heap     ] GC(10) Eden regions: 8->0(6)
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,heap     ] GC(10) Survivor regions: 2->2(2)
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,heap     ] GC(10) Old regions: 14->16
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,heap     ] GC(10) Archive regions: 0->0
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,metaspace] GC(10) Metaspace: 181K(384K)->181K(384K) NonClass: 170K(256K)->170K(256K) Class: 10K(128K)->10K(128K)
[2026-03-25T16:36:54.281+0900][24.740s][info][gc          ] GC(10) Pause Young (Concurrent Start) (G1 Evacuation Pause) 185M->135M(256M) 2.647ms
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,cpu      ] GC(10) User=0.00s Sys=0.00s Real=0.00s
[2026-03-25T16:36:54.281+0900][24.740s][info][gc          ] GC(11) Concurrent Mark Cycle
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,marking  ] GC(11) Concurrent Clear Claimed Marks
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,marking  ] GC(11) Concurrent Clear Claimed Marks 0.036ms
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,marking  ] GC(11) Concurrent Scan Root Regions
[2026-03-25T16:36:54.281+0900][24.740s][info][gc,marking  ] GC(11) Concurrent Scan Root Regions 0.132ms
[2026-03-25T16:36:54.281+0900][24.741s][info][gc,marking  ] GC(11) Concurrent Mark
[2026-03-25T16:36:54.281+0900][24.741s][info][gc,marking  ] GC(11) Concurrent Mark From Roots
[2026-03-25T16:36:54.281+0900][24.741s][info][gc,task     ] GC(11) Using 2 workers of 2 for marking
[2026-03-25T16:36:54.283+0900][24.742s][info][gc,marking  ] GC(11) Concurrent Mark From Roots 1.611ms
